f_min,f_avg,cv_min,cv_avg
-117.38000000000001,-83.90029691132514,0.0,0.023978611756891404
-117.113,-85.0506518,0.0,0.18578142
-119.90899999999999,-85.6940524,0.0,0.0
-123.027,-88.7798018,0.0,0.0
-123.027,-91.0844644,0.0,0.0
-123.027,-92.987723,0.0,0.0
-123.027,-94.6266386,0.0,0.0
-123.027,-96.21229040000001,0.0,0.0
-123.027,-97.6492652,0.0,0.0
-123.027,-99.03997439999999,0.0,0.0
-123.74499999999998,-100.3348578,0.0,0.0
-123.74499999999998,-101.5812038,0.0,0.0
-128.744,-102.8175516,0.0,0.0
-128.744,-104.06972200000001,0.0,0.0
-129.50900000000001,-105.2689126,0.0,0.0
-129.50900000000001,-106.43506839999999,0.0,0.0
-131.715,-107.65654679999999,0.0,0.0
-131.883,-108.7161908,0.0,0.0
-131.883,-109.71784879999998,0.0,0.0
-131.883,-110.7702656,0.0,0.0
