f_min,f_avg,cv_min,cv_avg
-119.16656537249904,-87.34601851460984,0.0,0.023978611756891404
-120.46240091192911,-88.3512141432809,0.0,0.17498249999999999
-124.88687714661766,-89.08569509972646,0.0,0.0
-124.88687714661766,-91.99254609650382,0.0,0.0
-125.0973395760773,-94.17139056582204,0.0,0.0
-125.0973395760773,-95.9980975854602,0.0,0.0
-125.0973395760773,-97.62474792029329,0.0,0.0
-127.77087812867185,-99.15911584234033,0.0,0.0
-127.77087812867185,-100.51157388489759,0.0,0.0
-127.77087812867185,-101.96930729537958,0.0,0.0
-128.19496536670255,-103.25962250647866,0.0,0.0
-128.19496536670255,-104.60774070477684,0.0,0.0
-128.19496536670255,-105.80898526304586,0.0,0.0
-128.19496536670255,-107.01514452888537,0.0,0.0
-131.39952818376395,-108.16643202503097,0.0,0.0
-131.87327370023112,-109.19346051375918,0.0,0.0
-131.87327370023112,-110.24472885644124,0.0,0.0
-134.13118899185332,-111.25606318464588,0.0,0.0
-135.55395385969712,-112.24582875095173,0.0,0.0
-135.55395385969712,-113.29911829064514,0.0,0.0
