f_min,f_avg,cv_min,cv_avg
-150.20850077145286,-111.21385238826535,0.0,0.13922421307506053
-153.218924998093,-104.90565397485366,0.0,1.5799698
-153.218924998093,-109.64112023535718,0.0,0.7143685799999999
-153.218924998093,-112.65262756865086,0.0,0.41179884
-153.218924998093,-113.45155391026489,0.0,0.21581844
-153.218924998093,-111.31850419124349,0.0,0.015238499999999993
-153.218924998093,-114.64320155050012,0.0,0.0
-153.218924998093,-117.1794325396693,0.0,0.0
-153.218924998093,-119.09181878546697,0.0,0.0
-153.218924998093,-120.94178467849488,0.0,0.0
-153.218924998093,-122.51959235162316,0.0,0.0
-153.218924998093,-124.02540765060814,0.0,0.0
-157.79599189810625,-125.404648008413,0.0,0.0
-157.79599189810625,-126.73965545619203,0.0,0.0
-157.79599189810625,-128.06658658164582,0.0,0.0
-157.79599189810625,-129.32823622496818,0.0,0.0
-161.07230149589535,-130.59267109681343,0.0,0.0
-161.07230149589535,-131.81073674080545,0.0,0.0
-161.91185588611978,-133.11010853571636,0.0,0.0
-161.91185588611978,-134.2550507972114,0.0,0.0
