f_min,f_avg,cv_min,cv_avg
-130.457,-97.99420783645657,0.0,0.022060988074957415
-132.205,-95.418577,0.0,1.0083998399999998
-134.51000000000002,-98.27681580000001,0.0,0.39736025999999997
-135.362,-100.3556442,0.0,0.1879812
-137.95800000000003,-98.91971760000001,0.0,0.0
-137.95800000000003,-102.6091178,0.0,0.0
-137.95800000000003,-105.05906060000001,0.0,0.0
-137.95800000000003,-107.16167259999997,0.0,0.0
-143.12700000000004,-109.0567946,0.0,0.0
-143.12700000000004,-110.7687128,0.0,0.0
-143.12700000000004,-112.41574240000001,0.0,0.0
-143.12700000000004,-113.92107059999998,0.0,0.0
-143.12700000000004,-115.40905780000003,0.0,0.0
-144.753,-116.78334380000001,0.0,0.0
-155.64000000000001,-118.1496574,0.0,0.0
-155.64000000000001,-119.497588,0.0,0.0
-155.64000000000001,-120.78843539999998,0.0,0.0
-155.64000000000001,-122.03484440000001,0.0,0.0
-155.64000000000001,-123.2386314,0.0,0.0
-155.64000000000001,-124.4452486,0.0,0.0
