f_min,f_avg,cv_min,cv_avg
-133.39833538477328,-102.76395966169332,0.0,0.022060988074957415
-140.73502084436592,-99.41317867756759,0.0,1.01931888
-140.73502084436592,-102.66729132280447,0.0,0.39704029999999996
-140.73502084436592,-104.68595587060459,0.0,0.19330070000000002
-140.73502084436592,-103.38150711673663,0.0,0.0
-140.73502084436592,-106.89785452772607,0.0,0.0
-140.73502084436592,-109.27775514243983,0.0,0.0
-146.28517983710702,-111.29264526190886,0.0,0.0
-146.28517983710702,-113.03697908559312,0.0,0.0
-146.28517983710702,-114.78654298693128,0.0,0.0
-146.28517983710702,-116.39642014010064,0.0,0.0
-146.28517983710702,-117.79552072265842,0.0,0.0
-158.48280748911725,-119.11017480400018,0.0,0.0
-158.48280748911725,-120.54561345051727,0.0,0.0
-158.48280748911725,-121.91188906191135,0.0,0.0
-158.48280748911725,-123.22983840295255,0.0,0.0
-158.48280748911725,-124.50220648357917,0.0,0.0
-158.48280748911725,-125.68924744470291,0.0,0.0
-158.48280748911725,-126.80358927939905,0.0,0.0
-158.48280748911725,-127.9445940872531,0.0,0.0
