f_min,f_avg,cv_min,cv_avg
-125.06099999999999,-96.43472066549913,0.0,0.029421716287215433
-131.044,-93.699876,0.0,1.00405972
-131.044,-96.588761,0.0,0.40325967999999995
-131.044,-98.54114299999999,0.0,0.20587941999999998
-132.237,-96.8514768,0.0,0.0
-132.237,-100.1613356,0.0,0.0
-132.643,-102.67619439999999,0.0,0.0
-132.643,-104.5641956,0.0,0.0
-132.643,-106.25923259999999,0.0,0.0
-134.583,-107.77213539999998,0.0,0.0
-134.583,-109.3985616,0.0,0.0
-144.28900000000002,-110.85140679999999,0.0,0.0
-144.28900000000002,-112.12582659999998,0.0,0.0
-144.28900000000002,-113.3039798,0.0,0.0
-144.28900000000002,-114.53846659999998,0.0,0.0
-144.28900000000002,-115.7727936,0.0,0.0
-144.68400000000003,-117.02761480000001,0.0,0.0
-144.68400000000003,-118.13024639999999,0.0,0.0
-146.335,-119.2571504,0.0,0.0
-146.335,-120.3885126,0.0,0.0
