f_min,f_avg,cv_min,cv_avg
-132.7672414952016,-100.8112978887012,0.0,0.029421716287215433
-137.28191746811765,-97.27813262047927,0.0,1.0260180799999998
-137.28191746811765,-100.15133896547864,0.0,0.42025798
-137.28191746811765,-102.5295898890285,0.0,0.22655735999999996
-137.28191746811765,-101.32414722321397,0.0,0.02477754
-137.28191746811765,-103.93359997788363,0.0,0.0
-137.28191746811765,-106.19158654450429,0.0,0.0
-137.28191746811765,-108.08349774106324,0.0,0.0
-142.65491511204678,-109.81508443214554,0.0,0.0
-142.65491511204678,-111.38209955182958,0.0,0.0
-142.65491511204678,-112.75745462474842,0.0,0.0
-142.65491511204678,-114.06495314072184,0.0,0.0
-142.65491511204678,-115.39339928425443,0.0,0.0
-144.63896685760363,-116.7237075537262,0.0,0.0
-146.4810213759474,-117.9570885637608,0.0,0.0
-146.4810213759474,-119.18615178950685,0.0,0.0
-147.14549299821735,-120.3620179554353,0.0,0.0
-147.51588384094285,-121.52018334245221,0.0,0.0
-147.51588384094285,-122.65750036011704,0.0,0.0
-157.97228639758805,-123.79906816689675,0.0,0.0
