f_min,f_avg,cv_min,cv_avg
-153.772,-112.63349461077846,0.0,0.07233485029940118
-158.209,-109.032986,0.0,1.2215883
-168.31499999999997,-112.03756060000002,0.0,0.5202280800000001
-168.31499999999997,-115.5446108,0.0,0.31000901999999997
-168.31499999999997,-114.74732320000001,0.0,0.1044096
-164.70399999999998,-115.36217919999999,0.0,0.0
-164.70399999999998,-118.976223,0.0,0.0
-164.70399999999998,-121.6997916,0.0,0.0
-165.375,-124.15832320000001,0.0,0.0
-166.05300000000003,-126.35943059999998,0.0,0.0
-166.05300000000003,-128.53359819999997,0.0,0.0
-187.49399999999997,-130.62206600000002,0.0,0.0
-187.49399999999997,-132.7352958,0.0,0.0
-187.49399999999997,-134.7434772,0.0,0.0
-187.49399999999997,-136.63541740000002,0.0,0.0
-187.49399999999997,-138.4436668,0.0,0.0
-187.49399999999997,-140.290719,0.0,0.0
-187.49399999999997,-142.06579459999998,0.0,0.0
-187.49399999999997,-143.7934204,0.0,0.0
-187.49399999999997,-145.4992246,0.0,0.0
