f_min,f_avg,cv_min,cv_avg
-155.7201493510804,-117.60302490267838,0.0,0.07233485029940118
-163.09593162187826,-113.45559443219547,0.0,1.19017042
-164.52878266426774,-116.55375127843304,0.0,0.4924908799999999
-164.52878266426774,-120.41271141706505,0.0,0.27547246
-166.31812307365357,-119.49218743001897,0.0,0.0720928
-160.93396589171329,-121.20529301317656,0.0,0.0
-163.85687665221224,-124.65166883922392,0.0,0.0
-165.06980083756065,-127.27748635067125,0.0,0.0
-167.39088962644416,-129.72173364253658,0.0,0.0
-168.33443155178253,-131.86627802320058,0.0,0.0
-175.28531536641552,-133.96412518038287,0.0,0.0
-175.28531536641552,-135.96156513224287,0.0,0.0
-186.27382386043905,-137.84702297411437,0.0,0.0
-186.27382386043905,-139.69629367396982,0.0,0.0
-186.27382386043905,-141.45585720567297,0.0,0.0
-186.27382386043905,-143.2241109428518,0.0,0.0
-186.27382386043905,-144.94681413444522,0.0,0.0
-189.6852541761563,-146.6646839217013,0.0,0.0
-189.6852541761563,-148.36056101488714,0.0,0.0
-189.6852541761563,-150.1046490464555,0.0,0.0
