Team_Number,League,player,team,team_strength,team_std_dev,position_role,price,PPM,std_dev_PPM,final_PPM,final_seasonal_points
1,ENG-Premier League,Alex McCarthy,Southampton,119.78,16.29,GK,4.0,0.578,2.887,0.618,23.5
1,ENG-Premier League,Caoimhín Kelleher,Liverpool,164.58,16.29,GK,9.3,1.9,2.887,2.803,106.5
1,ENG-Premier League,Archie Gray,Tottenham,140.64,16.29,DF,11.6,8.67,3.01,3.816,145.0
1,ENG-Premier League,Harry Maguire,Manchester Utd,135.67,16.29,DF,13.5,5.651,3.01,5.118,194.5
1,ENG-Premier League,Kieran Trippier,Newcastle Utd,147.38,16.29,DF,15.4,10.721,3.01,5.224,198.5
1,ENG-Premier League,Lisandro Martínez,Manchester Utd,135.67,16.29,DF,9.2,1.612,3.01,5.737,218.0
1,ENG-Premier League,Tariq Lamptey,Brighton,131.37,16.29,DF,10.2,3.375,3.01,3.974,151.0
1,ENG-Premier League,Virgil van Dijk,Liverpool,164.58,16.29,DF,17.2,9.561,3.01,9.395,357.0
1,ENG-Premier League,Andreas Pereira,Fulham,140.45,16.29,MF,20.0,12.628,3.8,8.579,326.0
1,ENG-Premier League,Cole Palmer,Chelsea,133.74,16.29,MF,25.0,22.727,3.8,20.882,793.5
1,ENG-Premier League,Eberechi Eze,Crystal Palace,138.72,16.29,MF,22.6,14.893,3.8,15.5,589.0
1,ENG-Premier League,Flynn Downes,Southampton,119.78,16.29,MF,14.0,5.615,3.8,4.934,187.5
1,ENG-Premier League,Joe Willock,Newcastle Utd,147.38,16.29,MF,4.0,1.875,3.8,4.079,155.0
1,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
1,ENG-Premier League,Alex Iwobi,Fulham,140.45,16.29,FW,21.8,9.726,4.814,14.697,558.5
1,ENG-Premier League,Jesper Lindstrøm,Everton,130.74,16.29,FW,4.0,1.718,4.814,5.868,223.0
1,ENG-Premier League,Ollie Watkins,Aston Villa,127.89,16.29,FW,24.9,19.425,4.814,15.474,588.0
1,ENG-Premier League,Reiss Nelson,Fulham,140.45,16.29,FW,4.0,1.028,4.814,2.645,100.5
2,ENG-Premier League,Aaron Ramsdale,Southampton,119.78,16.29,GK,4.4,0.619,2.887,5.184,197.0
2,ENG-Premier League,Bernd Leno,Fulham,140.45,16.29,GK,15.8,8.193,2.887,6.737,256.0
2,ENG-Premier League,Ashley Young,Everton,130.74,16.29,DF,8.1,7.336,3.01,6.829,259.5
2,ENG-Premier League,Kyle Walker-Peters,Southampton,119.78,16.29,DF,17.2,9.35,3.01,7.75,294.5
2,ENG-Premier League,Levi Colwill,Chelsea,133.74,16.29,DF,16.2,5.886,3.01,7.671,291.5
2,ENG-Premier League,Mads Roerslev,Brentford,143.34,16.29,DF,14.6,7.737,3.01,3.224,122.5
2,ENG-Premier League,Morato,Nott'ham Forest,140.62,16.29,DF,9.2,3.841,3.01,2.395,91.0
2,ENG-Premier League,Tyrone Mings,Aston Villa,127.89,16.29,DF,4.0,0.175,3.01,2.447,93.0
2,ENG-Premier League,James Ward-Prowse,West Ham,128.49,16.29,MF,23.2,16.123,3.8,4.092,155.5
2,ENG-Premier League,Matheus Cunha,Wolves,134.8,16.29,MF,22.6,14.286,3.8,18.487,702.5
2,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
2,ENG-Premier League,Rodrigo Bentancur,Tottenham,140.64,16.29,MF,14.3,3.9,3.8,5.592,212.5
2,ENG-Premier League,Tim Iroegbunam,Everton,130.74,16.29,MF,4.0,0.571,3.8,2.382,90.5
2,ENG-Premier League,İlkay Gündoğan,Manchester City,138.66,16.29,MF,18.8,12.159,3.8,7.842,298.0
2,ENG-Premier League,Bukayo Saka,Arsenal,146.34,16.29,FW,25.0,22.437,4.814,11.803,448.5
2,ENG-Premier League,Christopher Nkunku,Chelsea,133.74,16.29,FW,4.0,2.475,4.814,4.789,182.0
2,ENG-Premier League,Kevin Schade,Brentford,143.34,16.29,FW,4.0,1.888,4.814,12.197,463.5
2,ENG-Premier League,Yoane Wissa,Brentford,143.34,16.29,FW,23.2,12.434,4.814,16.145,613.5
3,ENG-Premier League,Jakub Stolarczyk,Leicester City,128.93,16.29,GK,4.0,0.562,2.887,1.737,66.0
3,ENG-Premier League,Nick Pope,Newcastle Utd,147.38,16.29,GK,9.6,3.387,2.887,6.539,248.5
3,ENG-Premier League,Ashley Young,Everton,130.74,16.29,DF,8.1,7.336,3.01,6.829,259.5
3,ENG-Premier League,Jack Stephens,Southampton,119.78,16.29,DF,8.9,2.148,3.01,3.711,141.0
3,ENG-Premier League,Jannik Vestergaard,Leicester City,128.93,16.29,DF,13.8,6.136,3.01,2.763,105.0
3,ENG-Premier League,Joško Gvardiol,Manchester City,138.66,16.29,DF,19.0,9.712,3.01,11.816,449.0
3,ENG-Premier League,Konstantinos Mavropanos,West Ham,128.49,16.29,DF,12.0,3.988,3.01,5.618,213.5
3,ENG-Premier League,Tosin Adarabioyo,Chelsea,133.74,16.29,DF,13.6,5.344,3.01,4.053,154.0
3,ENG-Premier League,Casemiro,Manchester Utd,135.67,16.29,MF,15.9,8.138,3.8,6.882,261.5
3,ENG-Premier League,Cole Palmer,Chelsea,133.74,16.29,MF,25.0,22.727,3.8,20.882,793.5
3,ENG-Premier League,Declan Rice,Arsenal,146.34,16.29,MF,22.9,15.764,3.8,12.316,468.0
3,ENG-Premier League,Kalvin Phillips,Ipswich Town,108.51,16.29,MF,4.0,0.465,3.8,3.289,125.0
3,ENG-Premier League,Matt O'Riley,Brighton,131.37,16.29,MF,19.0,19.648,3.8,5.316,202.0
3,ENG-Premier League,Pablo Sarabia,Wolves,134.8,16.29,MF,16.1,10.818,3.8,4.75,180.5
3,ENG-Premier League,Kevin Schade,Brentford,143.34,16.29,FW,4.0,1.888,4.814,12.197,463.5
3,ENG-Premier League,Mathys Tel,Tottenham,140.64,16.29,FW,9.4,4.948,4.814,4.079,155.0
3,ENG-Premier League,Mohamed Salah,Liverpool,164.58,16.29,FW,24.7,18.983,4.814,27.289,1037.0
3,ENG-Premier League,Wilson Odobert,Tottenham,140.64,16.29,FW,16.1,10.069,4.814,3.039,115.5
